,项目类别,项目名称
10207,其他费,一级护理
10221,检查费,腹部正位DR
10242,西药费,注射用水溶性维生素 2
10243,西药费,注射用头孢唑啉钠 0.5g 皮试 (-)
10245,西药费,奥曲肽         0.1mg
10250,其他费,凝血时间
10268,其他费,定于今日13时30分在基础麻醉下行剖腹探查术
10276,其他费,病理检查
10311,西药费,多潘立酮片&lt;10mg*30片&gt;
10313,其他费,心肌酶、电解质
10468,西药费,维生素k3注射液&lt;4mg*10&gt;
10554,其他费,伤口拆线
10630,其他费,腹部CR
10851,西药费,20%甘露醇注射液&lt;250ml&gt;
10973,其他费,定于10：30在硬外麻醉下行阑尾切除术
11098,西药费,氯雷他定片&lt;10mg*6s&gt;
11104,其他费,简易血糖
11105,西药费,氯化钾缓释片&lt;0.5g*24片&gt;
11207,其他费,定于今日在全麻下行腹腔镜阑尾切除术
11208,其他费,暂停手术
11214,其他费,术前检查
11249,检查费,血脂
11267,其他费,B超、心电图、胸片腹片骨盆平片
11270,西药费,苯巴比妥钠注射液 0.075g i.m.
11274,西药费,盐酸消旋山莨菪碱注射液 10mg i.m.
11337,西药费,盐酸奈福泮注射液 5mg/1ml i.m.必要时
11526,其他费,胃镜
11535,其他费,出院
11582,其他费,测血压           Q8h
11583,其他费,测体温           Q8h
11599,其他费,腹部B超                     已做
11615,其他费,血、尿常规                  已做
11634,检查费,泌尿系彩超
11637,其他费,拟定于明晨00：30在手术室硬膜外麻醉下行阑尾切除术
11920,其他费,留置腹腔引流管
11927,其他费,测BP           Q2h
11956,其他费,腹部立位片
11957,其他费,腹部彩超+阑尾+子宫附件彩超
12013,西药费,盐酸昂丹司琼注射液&lt;2ml:4mg&gt;
12056,其他费,拟定于今日上午接台在全麻下行腹腔镜阑尾切除术
12094,其他费,搬出监护室
12220,西药费,甲硝唑注射液&lt;250ml（塑）&gt;
12534,西药费,甲硝唑氯化钠注射液 500ml/0.5g i.v.drip
12661,其他费,肾功电解质、血糖、凝血系列
12666,其他费,血尿淀粉酶、输血前四项
12680,西药费,血塞通注射液&lt;200mg/支&gt;
12891,西药费,昂丹司琼注射液
12938,西药费,复方氨基酸注射液(18AA-Ⅱ)
12952,西药费,10%葡萄糖注射液
12953,西药费,5%葡萄糖注射液
12954,西药费,丹参川芎嗪注射液
12957,西药费,泮托拉唑钠注射液
12958,西药费,盐酸曲马多注射液
12959,西药费,注射用头孢西丁
12967,西药费,盐酸消旋山莨菪碱注射液
12971,西药费,奥硝唑氯化钠注射液
12979,西药费,葡萄糖氯化钠注射液
13014,其他费,半流质饮食
13041,西药费,注射用泮托拉唑钠
13439,西药费,注射用脂溶性维生素
13441,西药费,奥美拉唑注射液
13463,西药费,甲硝唑注射液
13467,西药费,头孢克肟分散片
13498,西药费,醋酸地塞米松注射液
13508,西药费,奥曲肽         0.2mg
13532,西药费,注射用头孢西丁钠 3g
13535,西药费,复方氯化钠注射液 500ml i.v.drip
13610,其他费,标本送病理检查
13613,其他费,定于今日19时在全麻下行腹腔镜阑尾切除术
13629,西药费,注射用五水头胞唑林钠
13642,西药费,肌苷注射液
13681,西药费,地西泮注射液
13708,西药费,维生素k1注射液
13789,其他费,拟定于19：30在硬膜外麻醉下行阑尾切除术
13791,其他费,按硬脊联合麻醉下行阑尾切除术后常规护理
13802,其他费,注意观察腹痛变化         q1h
13809,其他费,尿HCG试验                    已做
13812,其他费,血常规                       已做
13968,其他费,定于今日在全麻下行腹腔镜胆囊电切术
13973,其他费,吸氧6小时
13974,其他费,接通腹腔引流管
13990,其他费,0.9%氯化钠250ml
13993,其他费,心电监测6小时
13994,其他费,指脉氧监测6小时
14022,西药费,盐酸西替利嗪片
14025,其他费,送病检
14026,其他费,动态血压监测一次
14033,其他费,心电图腹部彩超腹部平片
14041,西药费,盐酸右美托咪定注射液
14042,西药费,布洛芬混悬液
14044,西药费,对乙酰氨基酚栓
14045,西药费,盐酸西替利嗪滴剂
14052,西药费,注射用头孢哌酮钠舒巴坦钠
14055,西药费,5%葡萄糖注射液(150ml)
14056,西药费,枸橼酸喷托维林片
14060,其他费,按硬外慢性阑尾切除术后常规护理
14068,其他费,特护6小时
14083,西药费,孟鲁司特钠咀嚼片
14116,西药费,甲氧氯普安注射液
14135,西药费,单硝酸异山梨脂注射液
14151,西药费,单硝酸异山梨酯缓释片
14160,西药费,泮托拉唑肠溶胶囊
14169,西药费,胆舒软胶囊
14189,西药费,硫酸沙丁胺醇片
14239,西药费,利巴韦林喷剂
14240,西药费,健胃消食口服液(10ml*12支)
14242,西药费,复方福尔可定口服液
14375,西药费,安乃近注射液   0.5g/2ml i.m.
14380,西药费,盐酸哌替啶注射液 2ml/50mg i.m.
14390,西药费,生理氯化钠溶液
14392,西药费,咪达唑仑注射液
14407,其他费,传染病检查
14419,其他费,定于明日在全麻下腹腔镜阑尾切除术
14491,其他费,停止手术
14492,其他费,凝血时间测定
14547,其他费,定于明日8时在全麻下阑尾切除术
14549,西药费,阿莫西林胶囊   0.25g 口服
14550,西药费,奥美拉唑镁肠溶片 20mg 口服
14805,化验费,肿瘤系列(男)
14813,西药费,联苯双酯滴丸
14814,西药费,肌苷片
14820,西药费,吡拉西坦氯化钠注射液
14848,化验费,淀粉酶测定
14880,西药费,华法林钠
15047,其他费,大换药1次
15064,其他费,一次性导尿包&lt;个&gt;
15122,其他费,一次性大便器&lt;个&gt;
15124,其他费,肠道冲洗袋&lt;支&gt;
15350,其他费,磁热疗法（腹部）
15407,其他费,穴位贴敷（双侧足三里）
15483,其他费,凝血系列、输血前检查、心肌酶谱
15490,其他费,肾功电解质、空腹血糖、血尿淀粉酶
15505,其他费,拟于急诊在全麻下行腹腔镜阑尾切除术
15514,西药费,10%脂肪乳注射液&lt;500ml&gt;
15515,其他费,胸部正位片、腹部平片
15521,其他费,腹腔引流管接袋引流
15526,西药费,硫酸庆大霉素注射液&lt;8万单位*10&gt;
15537,西药费,门冬氨酸钾镁注射液&lt;10ml*5&gt;
15538,其他费,按全麻下阑尾切除术后常规护理
15544,其他费,拟定于今日下午2:30在全麻下行腹腔镜阑尾切除术
15564,其他费,肝肾功电解质、凝血系列、输血前四项
15565,其他费,胸片、腹部立位片
15594,西药费,盐酸坦索罗辛缓释胶囊&lt;0.2mg*10s&gt;
15911,其他费,明晨复查血常规
16601,西药费,维生素B6注射液&lt;1ml：50mg*10&gt;
16603,其他费,头孢西丁钠   皮试
16635,其他费,理疗科理疗
17229,西药费,肝素钠&lt;12500u/2ml*10&gt;
17303,检查费,血细胞沉降率（ESR）
17319,检查费,结核抗体
17386,其他费,胸部平片
17389,其他费,低脂流食
17535,其他费,盆腔引流管接袋引流
17545,其他费,复查腹部彩超+泌尿系彩超+妇科彩超
17556,其他费,下尿管
17623,其他费,凝血系列、传染病四项
17706,西药费,注射用氨曲南&lt;1.0g&gt;
17707,其他费,拟定于明日9:00在硬脊联合麻醉下行阑尾切除术
17708,其他费,术前12小时禁食，6小时禁饮
17726,其他费,肝、肾功、电解质、血糖
17766,其他费,按在硬脊联合麻醉下行阑尾切除术后护理
17767,其他费,动态血压监测6小时
17789,西药费,注射用水溶性维生素
17950,西药费,17AA氨基酸针&lt;250ml&gt;
18023,其他费,腹部磁热疗法
18036,西药费,复方丹参滴丸
18230,其他费,凝血系列输血前四项
18233,其他费,定于今日19：30在全麻下行腹腔镜阑尾切除术
18237,其他费,可吸收止血结扎夹&lt;包&gt;
18238,其他费,10%葡萄糖
18247,其他费,氯化钾
18259,其他费,按全麻下腹腔镜阑尾肠管囊肿切除术后常规护理
18260,其他费,持续吸氧8小时
18261,其他费,心电监测8小时
18262,其他费,血尿常规肝肾功电解质淀粉酶
18266,其他费,指脉氧监测8小时
18271,其他费,复方氨基酸
18283,其他费,维生素B6
18284,其他费,特护8小时
18290,其他费,动态血压监测8小时
18293,其他费,左氧氟沙星
18294,其他费,维生素c
18304,其他费,心电图腹部平片腹部彩超
18321,其他费,明天出院
18334,其他费,拟定于14：30在硬外麻醉下行阑尾切除术
18369,其他费,搬出重症监护室
18386,其他费,阑尾标本送病检
18637,其他费,按肠梗阻常规护理
18638,其他费,加压吸氧
18639,其他费,口腔护理
18640,西药费,注射用头孢米诺钠
18641,西药费,（软袋）10%葡萄糖注射液
18643,西药费,乳酸左氧氟沙星氯化钠注射液
18644,西药费,注射用泮托拉唑钠（湖南）
18645,西药费,胰岛素注射液
18647,其他费,右下腹微波理疗30分钟
18649,西药费,(四川)转化糖电解质注射液
18655,其他费,急查凝血六项、血型
18657,西药费,复合磷酸氢钾注射液
18658,西药费,0.9%氯化钠注射液(软袋）
18666,其他费,急查血、尿常规
18667,其他费,人类血浆脂蛋白相关磷脂酶A2
18668,其他费,急查腹平片
18672,西药费,50%葡萄糖注射液
18675,西药费,0.9%氯化钠注射液（软袋）
18676,西药费,肝素钠注射液
18677,其他费,住重症监护室
18678,西药费,氯化钾溶液
18680,其他费,24小时留陪人
18681,其他费,血脂全套
18685,西药费,注射用辅酶A
18693,其他费,重症监护
18696,其他费,头孢米诺皮试( )
18698,西药费,浓氯化钠注射液（10%）
18700,西药费,（软袋）葡萄糖氯化钠
18708,其他费,拟定于今日14:00急诊在全麻下行腹腔镜下阑尾切除术
18722,其他费,静脉穿刺置管
18724,西药费,参麦注射液(四川)
18743,其他费,急查输血全套
18744,其他费,肿瘤系列
18745,其他费,急查胸片
18746,其他费,静脉高营养治疗
18747,西药费,氯化钠注射液（0.9%）
18755,其他费,取消手术
18758,其他费,急查肾功电解质
18767,其他费,急查肾功、电解质、血糖
18768,其他费,急查床头心电图
18774,其他费,妇科+阑尾超声
18798,检查费,B超常规检查
18808,化验费,凝血六项（含DD、FDP）
18810,化验费,胰腺病酶系列
18812,化验费,肝功
18814,化验费,传染八项
18816,化验费,血常规（含CRP）
18817,化验费,葡萄糖测定（空腹）
18826,化验费,血脂测定
18845,化验费,肾功测定
18846,化验费,ABO+RH血型鉴定
18857,检查费,十二通道心电图+心电向量图
18940,西药费,阿托品注射液(0.5mg)
18956,其他费,术前10h禁饮食
18960,西药费,0.9％氯化钠针(立式软袋）
18961,西药费,5％葡萄糖注射液(500ml)(立式软袋）
18986,西药费,苯巴比妥钠注射液(鲁米那注射液)
19013,检查费,心电图药物负荷试验
19026,西药费,盐酸昂丹司琼氯化纳注射液
19027,西药费,注射用葛根素
19041,西药费,18AA复方氨基酸注射液
19043,西药费,葡萄糖氯化纳注射液(500ml)（立式软袋）
19050,西药费,注射用环磷腺苷
19051,西药费,注射用脂溶/水溶性维生素
19052,其他费,按全麻下行腹腔镜下阑尾切除术+右侧卵巢囊肿切除术后常规护理
19055,西药费,注射用头孢呋辛钠
19057,西药费,5％葡萄糖注射液（立式软袋）
19069,其他费,拟于今日10:00急诊在全身麻醉下行腹腔镜下阑尾切除+右侧卵巢囊肿切除术
19267,其他费,无菌敷贴（中）
19419,其他费,中药口服   日一剂
19442,西药费,布洛芬缓释胶囊
19523,其他费,测BP           Q8h
19810,其他费,无菌服帖（大）
19840,其他费,特大换药
20270,西药费,复方甘草片
20473,西药费,甲磺酸加贝酯
20505,其他费,无菌敷贴（小）
20541,检查费,颈部血管多普勒超声加图文报告
20565,化验费,大心肌酶谱
20566,西药费,双氯芬酸钠肠溶片
20581,西药费,阿司匹林肠溶片(拜阿司匹林)
20582,西药费,阿托伐他汀钙胶囊
20605,化验费,肿瘤系列(女)
20652,西药费,"转化糖注射液   250ml
   i.v.drip q.d."
20657,其他费,引流管护理计量
20662,西药费,肌苷注射液     8ml
20680,西药费,转化糖注射液   250ml i.v.drip
20691,西药费,盐酸格拉司琼注射液 3ml/3mg i.m.
20743,西药费,甲硝唑注射液   250ml i.v.drip
20757,其他费,肝功8项
20769,其他费,腹部X线片
20773,其他费,换药2次
20775,其他费,血尿淀粉酶
20783,其他费,定于下午3时在全麻下行腹腔镜阑尾切除术
20793,其他费,拔尿管
21253,其他费,按全麻行阑尾切除术后常规护理
21258,其他费,拟于14:00在全麻下行腹腔镜探查及阑尾切除术
21268,西药费,注射用头孢西丁钠 2g
21270,其他费,测P R BP   Q2H
21273,其他费,心电监护6小时
21303,西药费,阿莫西林胶囊
21563,化验费,血培养及鉴定
21564,化验费,血浆D-二聚体定量检测
21582,化验费,血气分析组合
21655,化验费,C—反应蛋白测定(CRP)
21657,化验费,降钙素原检测
21666,化验费,呼吸道病毒检测
21676,化验费,肠道病毒
21677,西药费,小儿复方氨基酸注射液(19AA-I)
21689,西药费,口服补液盐散（I）
21715,其他费,吸氧      30分钟      bid
21718,其他费,脐血流
21730,西药费,头孢曲松钠(罗氏芬)
21738,其他费,胎心监护     qd
21764,其他费,严观产兆及胎心变化
21769,其他费,产科检查
21785,其他费,自数胎动并计数    tid
21786,其他费,多普勒测胎心q3h
21791,其他费,胎心监护
21792,西药费,硫酸镁注射液
21825,其他费,血尿淀粉酶测定
21900,其他费,腹部 B超
21964,其他费,心肌酶
22006,西药费,10%葡萄糖注射液 250ml
22206,西药费,多酶片         0.6g 口服
22237,西药费,盐酸甲氧氯普胺注射液 4mg i.m.
22251,西药费,多潘立酮片     10mg 口服饭前
22596,西药费,多维铁口服液
22606,西药费,盐酸二甲双胍肠溶胶囊
22643,西药费,维生素B12注射液
22775,西药费,维生素C注射液  2g i.v.drip
22852,其他费,复查空腹血糖
22874,其他费,粪常规+潜血
22939,其他费,复查腹部彩超
22950,其他费,血液四项
22970,其他费,流质饮食
23004,其他费,敷料贴(大）&lt;片&gt;
23050,其他费,妇科彩超+泌尿系彩超
23058,西药费,复方氨基酸注射液(18AA)&lt;250ml&gt;
23105,西药费,注射用头孢他啶
23192,西药费,多酶片
23512,化验费,乙型肝炎核心抗体测定(Anti-HBc)
23514,化验费,乙型肝炎表面抗原测定(HBsAg)
23515,化验费,乙型肝炎e抗原测定(HBeAg)
23527,化验费,超敏C反应蛋白测定
23528,化验费,乙型肝炎表面抗体测定(Anti-HBs)
23530,化验费,乙型肝炎e抗体测定(Anti-HBe)
23570,其他费,按全麻下行阑尾切除术常规护理
23576,其他费,标本送检
23579,其他费,泌尿系、阑尾彩超
23582,西药费,奥硝唑氯化钠注射液&lt;100ml:0.5g&gt;
23589,其他费,中药200ml
23626,其他费,中药煎剂                 5付
23629,西药费,维生素C注射液&lt;1g:5ml*5支&gt;
23637,其他费,拟定于14:30在全麻下行腹腔镜阑尾切除术
23641,其他费,酒精擦浴
23642,其他费,已通知禁饮食
23645,其他费,敷料贴(小）&lt;片&gt;
23723,其他费,腹部B超
23771,其他费,半卧位
23778,其他费,心电图、胸片
23812,西药费,地塞米松磷酸钠注射液 10mg i.m.
24004,西药费,甲硝唑氯化钠注射液
24035,西药费,龙牡壮骨颗粒
24098,西药费,格列齐特片(Ⅱ)
24099,西药费,奥美拉唑肠溶胶囊
24100,西药费,胶体果胶铋胶囊
24125,西药费,维生素AD软胶囊
24130,西药费,头孢克污颗粒
24151,西药费,门冬氨酸钾镁注射液
24182,西药费,维生素b6注射液
24251,其他费,留置尿管24小时
24256,其他费,拟于今日13：00在全麻下行阑尾切除术
24258,其他费,请心脑1科会诊
24260,其他费,切除标本送病检
24264,西药费,"甲硝唑注射液   500ml
   i.v.drip q.d."
24273,西药费,替硝唑氯化钠注射液
24275,西药费,甲硝唑注射液   500ml i.v.drip
24291,其他费,按全身麻醉下阑尾切除术后常规护理
24416,西药费,利巴韦林注射液 4ml
24486,西药费,5%葡萄糖氯化钠注射液 1000ml
24510,西药费,注射用脂溶性维生素II 2
24545,西药费,维生素E软胶囊
24563,西药费,头孢呋辛酯片
24580,其他费,请皮肤科会诊
24582,其他费,测血压、心率    q2h
24589,其他费,术前30分钟备皮
24606,其他费,粪便常规
24610,其他费,腹腔引流管接袋计量
24624,其他费,拟于9点在硬膜外麻醉下行阑尾切除术
24629,西药费,0.9%氯化钠注射液&lt;500ml（袋）&gt;
24657,其他费,胸部X线片
24696,其他费,c-反应蛋白
24865,其他费,口服水煎服
24884,西药费,呋喃妥因&lt;50mg*100s&gt;
24909,其他费,按全麻下行腹腔镜阑尾切除术常规护理
24924,西药费,多酶片&lt;0.3g*100片&gt;
24930,其他费,明晨复查肝功能
24932,其他费,盆腔彩超
24955,其他费,请内科会诊
24963,西药费,注射用单硝酸异山梨酯&lt;25mg&gt;
25003,其他费,肾功能、电解质、血糖、心肌酶谱
25033,其他费,肝功八项
25039,其他费,拟定于22:30在全麻下行腹腔镜阑尾切除术
25161,其他费,肛肠科会诊
25398,其他费,泌尿系+妇科彩超
25420,西药费,维生素B6注射液&lt;50mg:1ml*10支&gt;
25428,西药费,苯扎氯铵贴&lt;100贴&gt;
25439,西药费,注射用果糖二磷酸钠&lt;7.5g&gt;
25448,其他费,血、尿淀粉酶、心肌酶谱
25543,西药费,注射用泮托拉唑钠&lt;40mg&gt;
25561,其他费,中药煎剂           200ml
25568,其他费,尿道口擦洗
25569,其他费,BNP、血气分析
25595,其他费,磁热疗法
25706,西药费,尼美舒利&lt;50mg*24s&gt;
25711,西药费,注射用水溶性维生素 1
25823,西药费,注射用头孢呋辛钠 3.5g
25828,其他费,按普外科护理常规
25836,其他费,B超阑尾
25863,西药费,复方氨基酸注射液(18AA-VII) 200ml/20.650g i.v.drip
25938,西药费,5%葡萄糖注射液 250ml
25943,西药费,甲钴胺注射液   1mg
25944,西药费,注射用胸腺肽   60mg
25946,西药费,注射用胸腺肽   60mg 皮试
26013,其他费,按全麻下行腹腔镜阑尾切除术后常规护理
26023,其他费,拟定于今日19：00在全麻下行腹腔镜阑尾切除术
26054,西药费,多潘立酮混悬液&lt;100ml&gt;
26168,化验费,血流变学测定(12项)
26203,检查费,左心功能测定
26208,西药费,注射用二丁酰环磷腺苷钙
26210,西药费,溴米那普鲁卡因注射液
26243,西药费,复方氨基酸注射液(18AA-VII) 400ml i.v.drip
26269,西药费,氯化钾注射液   15ml
26416,化验费,心肌酶谱五项
26419,西药费,硫酸氢氯吡格雷片
26555,化验费,心梗三联
26704,其他费,监测R、P、SpO2
26768,其他费,禁饮食6小时后流食
26823,西药费,"甲硝唑注射液   250ml
   i.v.drip q.d."
26859,西药费,"复方氨基酸注射液(18AA-VII)
200ml/20.650g i.v.drip b.i.d"
26891,其他费,肝胆胰脾双肾彩超
26940,其他费,复查阑尾B超
27126,西药费,注射用头孢呋辛钠&lt;1.75g&gt;
27221,西药费,胃蛋白酶口服溶液 10ml 口服
27229,其他费,腹部B超             已做
27234,其他费,拟定于今日19：00在硬膜外麻醉下行阑尾切除术
27253,其他费,血常规              已做
27332,其他费,尿常规              已做
27333,其他费,尿HCG               已做
27399,化验费,异常白细胞形态检查
27950,西药费,参麦注射液
27977,西药费,蔗糖铁注射液
28139,西药费,维生素C注射液  1.5g
28155,西药费,0.9%氯化钠注射液 200ml
28171,西药费,注射用头孢呋辛钠 3.0g
28187,化验费,人免疫缺陷病毒抗体测定(Anti-HIV)
28188,化验费,凝血酶时间测定(TT)
28189,化验费,血清总胆固醇测定
28192,西药费,注射用头孢米诺
28194,化验费,活化部分凝血活酶时间测定(APTT)
28195,化验费,血清甘油三酯测定
28232,化验费,梅毒螺旋体特异抗体测定
28237,西药费,注射用血栓通
28245,化验费,血浆凝血酶原时间测定(PT)
28246,化验费,血清低密度脂蛋白胆固醇测定
28254,西药费,注射用奥硝唑
28260,化验费,血浆纤维蛋白原测定
28261,化验费,血清高密度脂蛋白胆固醇测定
28268,其他费,大换药+拔管
28279,西药费,厄贝沙坦片
28315,西药费,拉西地平片
28322,西药费,单硝酸异山梨酯
28398,其他费,引导式教育训练
28399,其他费,3M伤口敷贴（小）3个
28402,其他费,急查心电图
28405,其他费,急查凝血四项、血型
28409,其他费,口腔护理  bid
28417,西药费,注射用脂溶性维生素(II)
28429,西药费,复方甘草口服溶液
28431,其他费,小换药３处
28441,其他费,按全麻下行腹腔镜下阑尾切除术术后常规护理
28449,其他费,腹部B超            已做
28484,其他费,拟定于今日14:30急诊在全麻下行腹腔镜下阑尾切除术
28490,其他费,一次性使用腹腔镜用穿刺器1套
28502,其他费,可吸收止血结扎夹 2个
28505,其他费,通知出院
28507,其他费,按普外科常规护理
28510,其他费,赛必妥（手术防粘连液）3mlX2支
28511,其他费,小换药3处
28515,其他费,头孢唑肟皮试（ ）
28518,化验费,葡萄糖测定(随机)
28538,检查费,TAP检测
28613,西药费,异甘草酸镁注射液
28683,西药费,盐酸罗哌卡因注射液
28684,西药费,去氧肾上腺素
28709,其他费,术前8h禁食，4h禁饮
28776,化验费,一般细菌培养及鉴定
28777,其他费,测P R SPO2
28801,其他费,禁饮食（6h后改流食）
28831,检查费,心电监测
28893,西药费,氯化钾注射液   5ml
28899,西药费,水溶性维生素
29087,西药费,盐酸哌替啶注射液(度冷丁注射液)[审方]
29099,西药费,棕色合剂(复方甘草合剂)
29166,化验费,血淀粉酶测定
29196,西药费,苯扎氯铵贴(创可贴)(邦迪)
29235,检查费,CT检查
29253,化验费,尿常规(常规+沉渣)
29348,西药费,脂肪乳注射液&lt;500ml&gt;
29355,西药费,5%葡萄糖注射液&lt;塑500ml*1瓶&gt;
29356,西药费,维生素C针&lt;1g：5ml*5支&gt;
29358,其他费,按硬外麻醉下行阑尾切除术后常规护理
29361,西药费,10%氯化钾针&lt;10ml*5支&gt;
29363,西药费,羟乙基淀粉40氯化钠&lt;500ml*1瓶&gt;
29364,其他费,按普外科护理常规护理
29365,西药费,脂溶性维生素（II）针&lt;1支&gt;
29366,西药费,替硝唑葡萄糖注射液&lt;0.4g 100ml*1瓶&gt;
29368,其他费,血型
29369,其他费,陪1人
29372,西药费,头孢曲松钠注射剂&lt;1g*1支&gt;
29374,其他费,感染性疾病筛查
29386,其他费,测血压4小时1次
29387,西药费,维生素B6注射液&lt;100mg:2ml*10支&gt;
29390,其他费,搬至39床
29391,其他费,生化全套
29392,西药费,肝素钠针&lt;12500U*1支&gt;
29393,其他费,伤口换药（中敷贴1个）
29397,其他费,腹部X线平片
29398,其他费,子宫附件B超
29484,西药费,胰岛素针&lt;400u/10ml&gt;
29491,西药费,维生素B1注射液&lt;2ml:0.1g*10&gt;
29563,西药费,硫酸阿托品注射液&lt;1ml:0.5mg*10支&gt;
29580,西药费,山莨菪碱注射液&lt;10mg/1ml*10&gt;
29589,西药费,50%葡萄糖注射液&lt;50%/20ml*5&gt;
29611,西药费,西地兰注射液&lt;0.4mg/2ml*5&gt;
29631,西药费,度冷丁针&lt;100mg*10&gt;
29638,化验费,尿液淀粉酶测定
29659,西药费,氧氟沙星注射液&lt;200mg/100ml&gt;
29660,检查费,腹部彩超
29813,西药费,保和丸
29816,西药费,吸入用复方异丙托溴胺溶液(可必特)
29822,西药费,0.9％氯化钠注射液
29849,西药费,速尿注射液&lt;20mg/2ml*10&gt;
29883,其他费,测血压 q 6 h
30014,化验费,血清人绒毛膜促性腺激素测定
30404,其他费,观察腹痛变化
30405,西药费,0.9%氯化钠注射液&lt;塑250ml*1瓶&gt;
30406,西药费,头孢哌酮舒巴坦钠针&lt;1.5g*1支&gt;
30412,其他费,心电血氧监测
30465,西药费,阿托品注射液&lt;0.5mg*10支&gt;
30495,西药费,山莨菪碱针&lt;10mg*10支&gt;
30502,西药费,多酶片&lt;0.3g*100片*1瓶&gt;
30505,西药费,复方氯化钠注射液&lt;塑500ml*1瓶&gt;
30535,西药费,低分子肝素钙注射液&lt;1ml/5000u&gt;
30547,检查费,彩超单脏器检查
30567,西药费,多索茶碱注射液&lt;20ml:0.2g&gt;
30580,检查费,心脏彩超
30787,西药费,甲硝唑注射液&lt;塑250ml*1瓶&gt;
30796,西药费,开塞露&lt;20ml*1支&gt;
30798,其他费,泌尿系B超
30801,西药费,莫沙必利胶囊&lt;5mg*24粒*1盒&gt;
30809,西药费,5%葡萄糖氯化钠注射液&lt;塑500ml*1瓶&gt;
30811,西药费,苯巴比妥钠注射液&lt;0.1*10支&gt;
30812,其他费,测血压每日2次
30819,西药费,5%葡萄糖注射液&lt;塑250ml*1瓶&gt;
30827,其他费,拟定于今日下午14:30在硬外麻醉下行阑尾切除术
30828,其他费,术区请备皮
30833,西药费,复方泛影葡胺针&lt;76%20ml*5支&gt;
30980,西药费,诺和针头
30981,西药费,30/70混合重组人胰岛素注射液(笔芯)
31013,西药费,前列康片&lt;60&gt;
31057,西药费,保列治&lt;5mg*10&gt;
31074,其他费,按小儿外科常规护理
31075,其他费,输血全套
31079,其他费,留陪人2位
31080,其他费,血常规、CRP
31082,西药费,碳酸氢钠注射液
31088,西药费,转化糖注射液（英凡舒）
31090,其他费,引流管护理
31091,西药费,*注射用头孢曲松钠
31093,其他费,尿、粪常规
31097,其他费,鼻导管吸氧
31102,西药费,西米替丁注射液
31104,西药费,布洛芬缓释混悬液
31107,其他费,请儿内科医师会诊
31108,其他费,肠系膜淋巴结、阑尾B超
31110,西药费,注射用头孢唑林钠
31111,其他费,心电监护、指脉氧监测
31112,其他费,留置引流管
31113,其他费,右下腹微波理疗
31115,其他费,肾功、电解质、肝功
31123,西药费,注射用美罗培南
31124,其他费,血培养
31126,西药费,（塑）甲硝唑注射液
31130,西药费,*注射用酒石酸吉它霉素
31132,其他费,急查血常规、CRP
31133,西药费,注射用乳糖酸红霉素
31140,其他费,凝血四项、血型
31144,其他费,按全麻腹腔镜下腹腔脓液引流术后常规护理
31146,西药费,复方氨基酸注射液（18AA-VII)
31147,西药费,注射用脂溶性维生素II/注射用水溶性维生素组合包装
31154,其他费,腹腔肠管、腹膜后B超
31155,其他费,转院
31169,其他费,拟18:00急诊在全麻腹腔镜下行阑尾切除术
31373,西药费,复方氨基酸注射液(18AA-VII) 400ml/20.650g i.v.drip
31420,西药费,5%葡萄糖注射液 1000ml
31550,西药费,头孢米诺钠
31551,西药费,注射用维生素C
31688,西药费,复方氨基酸注射液(18AAU)
31898,西药费,盐酸肾上腺素注射液
31931,西药费,前列康片&lt;0.57g*120s&gt;
31956,西药费,浓氯化钠注射液 10ml
31958,西药费,盐酸格拉司琼注射液 3ml/3mg i.m.备用
31976,西药费,0.9%氯化钠注射液 1000ml
31992,西药费,5%葡萄糖注射液 1500ml
31999,西药费,甲磺酸左氧氟沙星氯化钠注射液 200ml i.v.drip
32003,西药费,氯化钾注射液   12ml
32006,西药费,盐酸甲氧氯普胺针 5mg/1ml i.m.
32397,西药费,复方氨基酸注射液（3AA)&lt;250ml&gt;
32400,西药费,氟哌酸胶囊&lt;0.1g*20s&gt;
32402,西药费,迈之灵片&lt;150mg*20&gt;
32490,西药费,注射用奥美拉唑钠&lt;40mg&gt;
32497,其他费,一次性使用备皮包&lt;个&gt;
32534,西药费,葡萄糖氯化钠注射液&lt;500ml&gt;
32713,西药费,注射用脂溶性维生素II 1
32733,西药费,地塞米松磷酸钠注射液 5mg 雾化吸入
32734,西药费,拉西地平片     4mg 口服
32747,西药费,硫酸庆大霉素注射液 8万u/2ml
32792,西药费,胃复安
32795,化验费,血清胆碱脂酶测定
32796,其他费,收腹带
32802,其他费,联合包
32805,其他费,腹贴(大）
32806,化验费,血清γ-谷氨酰基转移酶测定
32811,西药费,阿托品针
32814,西药费,5%葡萄糖注射液(塑料瓶）
32815,西药费,0.9%氯化钠注射液(塑料瓶)
32821,化验费,血清天门冬氨酸氨基转移酶测定
32825,西药费,葡萄糖注射液5%
32831,化验费,血清尿酸测定
32838,西药费,注射用氨曲南
32839,西药费,乳酸钠注射液
32844,化验费,α巨球蛋白测定
32851,西药费,生脉注射液
32859,化验费,丙型肝炎抗体测定(Anti-HCV)
32864,西药费,奥美拉唑针剂
32868,西药费,金水宝胶囊     0.99g 口服
32871,西药费,维生素B6注射液 300mg
32876,西药费,注射用单硝酸异山梨酯 10mg
32877,西药费,注射用门冬氨酸钾镁 2g
32878,西药费,丹参川芎嗪注射液 10ml
32883,西药费,盐酸利多卡因胶浆 10g 外用
